!
! Model atmospheres, synthetic spectra and photometry
! Baraffe, Homeier, Allard, Chabrier 2015, accepted by A&A:
! "New evolutionary models for pre-main sequence and main sequence low-mass stars down to the hydrogen-burning limit"
!
! Isochrones of the models from:
!
! Chabrier, Baraffe, Allard, Hauschildt, 2000, ApJ 542, 464
! "Evolutionary models for very-low-mass stars and brown dwarfs with dusty atmospheres"
! Baraffe, Chabrier, Allard, Hauschildt, 2002, A&A 382, 563
! "Evolutionary models for low-mass stars and brown dwarfs: uncertainties and limits at very young ages"
!
! logL: log L/Lsun
! radius : R/Rsun
! Li_Li0: ratio of photospheric lithium abundance to initial abundance
!
! photospheric magnitudes for SPHERE_IRDIS filter transmissions from Nov. 2014 (A. Vigan, priv. comm.)
! + atmospheric transmission for Paranal at 1.0mm H2O, airmass=1.0 from VISTA calibration
!
!Teff log g [M/H]  R/Rs D[pc] B_Y     B_J     B_H     B_Ks    B_ND-H  D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2    N_BrG   N_CO    N_CntH  N_CntJ  N_CntK1 N_CntK2 N_FeII  N_H2    N_HeI   N_PaB    J-H    H-Ks  (SPHERE IRDIS)
!  absolute magnitudes for isochronal radii
!


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.001
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0800   2854.0  -2.780  4.890   0.169   0.066  10.177   9.631   9.084   8.758   9.080  10.266  10.019   9.745   9.479   9.078   8.889   8.965   8.865   8.629   8.692   8.613   9.141   9.649    8.914    8.589   8.928   8.837   9.938   9.405 
  0.0900   2920.0  -2.690  4.890   0.178   0.000   9.982   9.443   8.892   8.579   8.888  10.074   9.827   9.553   9.297   8.886   8.707   8.775   8.682   8.455   8.514   8.438   8.946   9.464    8.729    8.416   8.743   8.656   9.750   9.225 
  0.1000   2971.0  -2.630  4.900   0.185   0.000   9.821   9.296   8.744   8.440   8.740   9.909   9.672   9.403   9.155   8.738   8.566   8.628   8.540   8.321   8.378   8.303   8.795   9.318    8.585    8.283   8.600   8.516   9.599   9.084 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.120
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0120   1309.0  -4.290  4.220   0.140   1.000  14.834  13.952  12.677  11.993  12.670  14.936  14.601  14.121  13.619  12.545  12.402  12.539  11.916  11.991  11.771  12.149  12.629  13.898   11.964   11.976  12.415  11.854  14.544  13.546 
  0.0150   1188.0  -4.540  4.400   0.128   1.000  15.258  14.427  13.248  12.808  13.241  15.344  15.011  14.649  13.998  13.009  12.979  13.255  12.595  13.014  12.541  13.220  13.077  14.318   12.616   13.041  12.933  12.540  14.927  13.925 
  0.0200   1351.0  -4.340  4.550   0.124   1.000  14.949  14.069  12.802  12.100  12.795  15.050  14.730  14.226  13.765  12.689  12.573  12.662  12.023  12.113  11.900  12.257  12.752  14.031   12.060   12.099  12.583  11.972  14.673  13.689 
  0.0300   1782.0  -3.860  4.730   0.124   1.000  14.063  12.846  11.727  10.917  11.719  14.267  13.788  13.219  12.504  11.726  11.358  11.543  11.021  10.763  10.792  10.792  11.859  12.912   11.097   10.722  11.435  10.964  13.543  12.378 
  0.0400   2151.0  -3.510  4.830   0.127   1.000  12.392  11.413  10.745  10.296  10.737  12.590  12.130  11.692  11.117  10.701  10.369  10.633  10.417  10.121  10.154  10.163  10.830  11.411   10.510   10.075  10.433  10.350  11.878  11.006 
  0.0500   2422.0  -3.260  4.880   0.134   0.998  11.490  10.735  10.177   9.796  10.171  11.640  11.271  10.927  10.506  10.146   9.866  10.062   9.926   9.625   9.680   9.642  10.249  10.728   10.006    9.577   9.922   9.870  11.090  10.412 
  0.0550   2519.0  -3.170  4.900   0.138   0.982  11.211  10.515   9.966   9.597   9.960  11.346  11.008  10.682  10.308   9.942   9.683   9.847   9.725   9.431   9.494   9.436  10.034  10.513    9.799    9.383   9.736   9.676  10.853  10.218 
  0.0600   2606.0  -3.090  4.910   0.142   0.913  10.969  10.325   9.779   9.421   9.774  11.087  10.779  10.473  10.135   9.761   9.523   9.659   9.544   9.265   9.330   9.262   9.845  10.328    9.611    9.218   9.573   9.502  10.651  10.051 
  0.0700   2737.0  -2.950  4.930   0.151   0.344  10.618  10.025   9.476   9.134   9.471  10.723  10.443  10.153   9.858   9.465   9.255   9.356   9.248   8.993   9.057   8.982   9.536  10.037    9.305    8.949   9.298   9.214  10.344   9.780 
  0.0720   2758.0  -2.920  4.930   0.152   0.193  10.567   9.984   9.434   9.093   9.429  10.669  10.396  10.108   9.820   9.424   9.219   9.314   9.205   8.956   9.019   8.943   9.493   9.998    9.260    8.913   9.261   9.173  10.301   9.743 
  0.0750   2787.0  -2.890  4.930   0.155   0.047  10.475   9.905   9.353   9.015   9.349  10.573  10.309  10.025   9.746   9.345   9.148   9.233   9.124   8.882   8.944   8.868   9.411   9.921    9.176    8.841   9.188   9.093  10.220   9.670 
  0.0800   2831.0  -2.840  4.940   0.159   0.000  10.351   9.794   9.242   8.912   9.238  10.446  10.189   9.910   9.640   9.235   9.045   9.123   9.019   8.783   8.844   8.768   9.298   9.812    9.069    8.742   9.084   8.990  10.106   9.566 
  0.0900   2904.0  -2.750  4.940   0.168   0.000  10.130   9.587   9.036   8.721   9.031  10.225   9.974   9.698   9.440   9.029   8.848   8.919   8.824   8.595   8.655   8.579   9.089   9.607    8.872    8.556   8.884   8.797   9.896   9.367 
  0.1000   2959.0  -2.680  4.950   0.175   0.000   9.959   9.430   8.877   8.572   8.873  10.049   9.808   9.538   9.288   8.870   8.697   8.762   8.672   8.453   8.508   8.435   8.928   9.451    8.718    8.414   8.731   8.647   9.735   9.216 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.500
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0200    901.0  -5.140  4.650   0.111   1.000  15.988  15.234  15.375  15.178  15.371  16.099  15.516  16.146  14.341  14.691  15.627  16.046  14.688  16.145  14.925  16.428  14.532  15.033   14.626   16.321  15.293  14.678  15.380  14.340 
  0.0300   1170.0  -4.730  4.860   0.106   1.000  15.180  14.451  13.755  13.669  13.749  15.299  14.865  14.769  13.891  13.330  13.583  14.060  13.346  14.122  13.407  14.340  13.346  14.251   13.334   14.193  13.424  13.312  14.774  13.830 
  0.0400   1461.0  -4.360  5.010   0.104   1.000  15.086  14.164  12.922  12.137  12.916  15.210  14.865  14.340  13.884  12.868  12.735  12.749  12.103  12.113  11.987  12.210  12.923  14.173   12.133   12.090  12.759  12.067  14.792  13.801 
  0.0500   1751.0  -4.060  5.110   0.103   0.954  14.511  13.401  12.249  11.393  12.241  14.706  14.255  13.685  13.110  12.239  11.967  12.061  11.466  11.268  11.279  11.301  12.336  13.453   11.523   11.230  12.026  11.418  14.090  12.995 
  0.0550   1902.0  -3.910  5.150   0.103   0.561  13.698  12.520  11.681  11.179  11.674  13.982  13.397  12.852  12.187  11.617  11.316  11.593  11.243  11.054  11.036  11.116  11.742  12.528   11.313   11.018  11.367  11.185  13.141  12.059 
  0.0600   2048.0  -3.780  5.190   0.104   0.007  13.041  11.996  11.313  10.928  11.306  13.319  12.751  12.284  11.688  11.240  10.946  11.245  11.002  10.790  10.778  10.857  11.363  11.981   11.080   10.751  10.996  10.938  12.501  11.569 
  0.0700   2295.0  -3.560  5.230   0.106   0.000  12.120  11.395  10.857  10.518  10.850  12.240  11.905  11.613  11.131  10.797  10.524  10.780  10.612  10.366  10.376  10.417  10.906  11.356   10.693   10.322  10.574  10.550  11.709  11.020 
  0.0720   2332.0  -3.520  5.240   0.107   0.000  11.992  11.287  10.759  10.437  10.753  12.109  11.781  11.497  11.031  10.699  10.433  10.684  10.534  10.283  10.296  10.332  10.805  11.246   10.615   10.238  10.481  10.472  11.589  10.927 
  0.0750   2400.0  -3.460  5.240   0.108   0.000  12.019  11.223  10.647  10.313  10.641  12.216  11.784  11.421  10.989  10.597  10.339  10.560  10.415  10.157  10.181  10.196  10.697  11.206   10.494   10.112  10.387  10.357  11.600  10.890 
  0.0800   2505.0  -3.370  5.250   0.111   0.000  11.735  11.004  10.433  10.098  10.428  11.906  11.518  11.177  10.792  10.394  10.154  10.336  10.206   9.945   9.982   9.967  10.484  10.992   10.280    9.899  10.200  10.155  11.361  10.699 
  0.0900   2678.0  -3.190  5.240   0.118   0.000  11.180  10.608  10.066   9.740  10.062  11.269  11.009  10.746  10.427  10.045   9.832   9.959   9.849   9.596   9.648   9.597  10.120  10.604    9.912    9.551   9.874   9.810  10.903  10.344 
  0.1000   2809.0  -3.050  5.230   0.128   0.000  10.874  10.290   9.724   9.406   9.720  10.988  10.703  10.412  10.133   9.711   9.524   9.613   9.508   9.278   9.330   9.269   9.774  10.303    9.560    9.236   9.561   9.477  10.613  10.056 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   1.000
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0300    958.0  -5.110  4.900   0.102   1.000  15.904  15.168  15.177  15.042  15.173  16.016  15.460  15.915  14.339  14.534  15.337  15.785  14.598  15.844  14.782  16.081  14.407  14.933   14.549   15.988  15.033  14.585  15.325  14.316 
  0.0400   1189.0  -4.770  5.060   0.098   1.000  15.328  14.570  13.898  13.710  13.892  15.458  15.003  14.882  14.019  13.504  13.711  14.143  13.432  14.053  13.454  14.236  13.527  14.383   13.429   14.108  13.573  13.398  14.906  13.953 
  0.0500   1424.0  -4.480  5.180   0.096   0.932  15.141  14.274  13.119  12.515  13.114  15.257  14.916  14.446  13.959  13.012  12.920  13.017  12.430  12.551  12.340  12.673  13.062  14.246   12.454   12.542  12.923  12.393  14.842  13.878 
  0.0550   1550.0  -4.340  5.220   0.095   0.379  15.259  14.280  13.018  12.097  13.012  15.397  15.038  14.477  14.037  13.015  12.851  12.800  12.134  12.014  12.004  12.042  13.071  14.336   12.168   11.982  12.890  12.105  14.959  13.949 
  0.0600   1675.0  -4.210  5.270   0.094   0.000  14.859  13.882  12.704  11.800  12.698  15.019  14.634  14.092  13.641  12.701  12.513  12.497  11.858  11.696  11.703  11.724  12.765  13.930   11.900   11.661  12.557  11.821  14.527  13.545 
  0.0700   2012.0  -3.880  5.320   0.096   0.000  13.366  12.325  11.611  11.200  11.605  13.653  13.080  12.607  12.021  11.537  11.268  11.543  11.260  11.077  11.057  11.142  11.651  12.309   11.328   11.040  11.313  11.202  12.844  11.901 
  0.0720   2089.0  -3.800  5.320   0.097   0.000  13.026  12.010  11.379  11.074  11.373  13.326  12.735  12.288  11.706  11.288  11.020  11.339  11.129  10.948  10.916  11.029  11.406  11.983   11.202   10.911  11.062  11.066  12.487  11.587 
  0.0750   2185.0  -3.710  5.330   0.098   0.000  12.981  12.007  11.343  10.973  11.337  13.248  12.710  12.264  11.722  11.270  11.005  11.276  11.042  10.840  10.827  10.905  11.381  11.986   11.116   10.801  11.050  10.981  12.483  11.609 
  0.0800   2358.0  -3.540  5.320   0.103   0.000  12.101  11.349  10.796  10.483  10.790  12.265  11.877  11.554  11.102  10.736  10.480  10.724  10.575  10.333  10.343  10.383  10.838  11.315   10.654   10.289  10.526  10.514  11.688  10.999 
  0.0900   2625.0  -3.270  5.280   0.113   0.000  11.415  10.783  10.227   9.899  10.223  11.538  11.228  10.932  10.593  10.200   9.980  10.124  10.009   9.753   9.800   9.760  10.280  10.777   10.075    9.707  10.024   9.966  11.104  10.508 
  0.1000   2790.0  -3.080  5.250   0.125   0.000  10.957  10.366   9.799   9.479   9.794  11.074  10.783  10.490  10.205   9.784   9.594   9.688   9.582   9.349   9.401   9.342   9.849  10.376    9.635    9.307   9.632   9.550  10.690  10.128 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   5.000
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0500    907.0  -5.350  5.260   0.086   0.921  16.552  15.746  15.895  16.008  15.891  16.647  16.100  16.541  14.881  15.220  16.145  16.582  15.587  16.769  15.751  16.961  15.048  15.507   15.543   16.924  15.832  15.583  15.960  14.857 
  0.0550    990.0  -5.210  5.320   0.085   0.284  16.082  15.323  15.373  15.443  15.369  16.198  15.656  15.946  14.539  14.746  15.511  15.981  15.055  16.099  15.185  16.291  14.622  15.060   15.021   16.232  15.227  15.046  15.520  14.495 
  0.0600   1097.0  -5.040  5.370   0.084   0.000  15.769  15.043  14.769  14.723  14.764  15.889  15.394  15.482  14.371  14.238  14.750  15.226  14.394  15.212  14.472  15.386  14.182  14.794   14.373   15.307  14.525  14.376  15.277  14.315 
  0.0700   1593.0  -4.360  5.400   0.087   0.000  15.314  14.340  13.116  12.206  13.110  15.460  15.093  14.541  14.101  13.117  12.953  12.900  12.251  12.118  12.121  12.140  13.174  14.397   12.284   12.086  12.992  12.223  15.008  14.010 
  0.0720   1754.0  -4.180  5.400   0.089   0.000  14.509  13.535  12.518  11.770  12.513  14.701  14.270  13.764  13.276  12.490  12.292  12.358  11.815  11.673  11.661  11.716  12.565  13.553   11.859   11.639  12.333  11.776  14.121  13.168 
  0.0750   1998.0  -3.920  5.380   0.092   0.000  13.546  12.498  11.762  11.341  11.756  13.840  13.260  12.780  12.195  11.685  11.429  11.694  11.393  11.226  11.201  11.292  11.795  12.484   11.456   11.190  11.471  11.338  13.031  12.074 
  0.0800   2295.0  -3.610  5.340   0.100   0.000  12.146  11.487  10.973  10.659  10.967  12.231  11.945  11.701  11.220  10.906  10.646  10.909  10.741  10.516  10.514  10.574  11.011  11.432   10.818   10.474  10.692  10.679  11.758  11.110 
  0.0900   2621.0  -3.280  5.290   0.113   0.000  11.432  10.791  10.232   9.905  10.228  11.560  11.241  10.941  10.600  10.205   9.984  10.129  10.014   9.759   9.804   9.767  10.284  10.785   10.080    9.713  10.028   9.971  11.116  10.514 
  0.1000   2791.0  -3.080  5.250   0.124   0.000  10.973  10.382   9.815   9.496   9.810  11.090  10.799  10.506  10.221   9.800   9.611   9.704   9.598   9.366   9.417   9.358   9.865  10.393    9.651    9.323   9.648   9.566  10.706  10.144 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =  10.000
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0600    971.0  -5.290  5.400   0.081   0.000  16.318  15.521  15.606  15.713  15.603  16.434  15.880  16.182  14.715  14.981  15.758  16.206  15.327  16.368  15.456  16.548  14.848  15.267   15.292   16.505  15.477  15.320  15.739  14.672 
  0.0700   1552.0  -4.420  5.410   0.086   0.000  15.364  14.412  13.183  12.297  13.178  15.501  15.145  14.602  14.168  13.177  13.022  12.974  12.322  12.225  12.198  12.265  13.229  14.461   12.354   12.193  13.058  12.294  15.068  14.079 
  0.0720   1744.0  -4.190  5.400   0.089   0.000  14.557  13.590  12.552  11.787  12.546  14.743  14.321  13.813  13.335  12.527  12.332  12.384  11.832  11.690  11.679  11.732  12.599  13.610   11.875   11.656  12.373  11.793  14.179  13.229 
  0.0750   1998.0  -3.920  5.380   0.092   0.000  13.546  12.498  11.762  11.341  11.756  13.840  13.260  12.780  12.195  11.685  11.429  11.694  11.393  11.226  11.201  11.292  11.795  12.484   11.456   11.190  11.471  11.338  13.031  12.074 
  0.0800   2297.0  -3.610  5.340   0.100   0.000  12.137  11.481  10.970  10.657  10.964  12.221  11.937  11.694  11.215  10.902  10.643  10.906  10.739  10.514  10.512  10.572  11.008  11.426   10.816   10.472  10.689  10.677  11.750  11.104 
  0.0900   2622.0  -3.270  5.290   0.113   0.000  11.428  10.789  10.231   9.903  10.226  11.555  11.238  10.939  10.599  10.203   9.983  10.128  10.013   9.757   9.803   9.765  10.283  10.783   10.079    9.711  10.027   9.970  11.113  10.513 
  0.1000   2793.0  -3.080  5.250   0.124   0.000  10.970  10.379   9.812   9.493   9.808  11.086  10.796  10.503  10.219   9.798   9.609   9.702   9.595   9.364   9.415   9.356   9.862  10.390    9.648    9.321   9.646   9.563  10.704  10.142 
