!
! Model atmospheres, synthetic spectra and photometry
! Baraffe, Homeier, Allard, Chabrier 2015, accepted by A&A:
! "New evolutionary models for pre-main sequence and main sequence low-mass stars down to the hydrogen-burning limit"
!
! Isochrones of the models from:
!
! Chabrier, Baraffe, Allard, Hauschildt, 2000, ApJ 542, 464
! "Evolutionary models for very-low-mass stars and brown dwarfs with dusty atmospheres"
! Baraffe, Chabrier, Allard, Hauschildt, 2002, A&A 382, 563
! "Evolutionary models for low-mass stars and brown dwarfs: uncertainties and limits at very young ages"
!
! logL: log L/Lsun
! radius : R/Rsun
! Li_Li0: ratio of photospheric lithium abundance to initial abundance
!
! photospheric magnitudes for SPHERE_IRDIS filter transmissions from Nov. 2014 (A. Vigan, priv. comm.)
! + atmospheric transmission for Paranal at 3.0mm H2O, airmass=2.0 from VISTA calibration
!
!Teff log g [M/H]  R/Rs D[pc] B_Y     B_J     B_H     B_Ks    B_ND-H  D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2    N_BrG   N_CO    N_CntH  N_CntJ  N_CntK1 N_CntK2 N_FeII  N_H2    N_HeI   N_PaB    J-H    H-Ks  (SPHERE IRDIS)
!  absolute magnitudes for isochronal radii
!


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.001
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0020    901.0  -4.920  3.430   0.143   1.000  15.730  14.968  14.592  14.385  14.585  15.825  15.324  15.763  14.246  14.046  14.469  15.021  13.972  15.047  14.084  15.348  14.076  14.898   13.951   15.161  14.207  13.932  15.227  14.224 
  0.0030   1098.0  -4.550  3.580   0.148   1.000  15.118  14.260  13.228  13.029  13.220  15.209  14.819  14.629  13.783  12.962  12.839  13.289  12.811  13.225  12.731  13.476  13.105  14.190   12.849   13.258  12.792  12.745  14.741  13.731 
  0.0040   1263.0  -4.280  3.680   0.152   1.000  14.881  13.949  12.702  11.964  12.694  14.988  14.623  14.192  13.611  12.564  12.386  12.567  11.922  11.928  11.747  12.064  12.678  13.925   11.989   11.909  12.397  11.851  14.563  13.546 
  0.0050   1413.0  -4.060  3.750   0.157   1.000  15.033  13.936  12.521  11.443  12.513  15.184  14.786  14.172  13.691  12.521  12.332  12.272  11.501  11.345  11.342  11.362  12.592  14.009   11.549   11.316  12.375  11.462  14.707  13.603 
  0.0060   1543.0  -3.890  3.800   0.161   1.000  14.910  13.711  12.292  11.109  12.285  15.075  14.656  14.001  13.460  12.343  12.090  12.015  11.230  10.966  11.050  10.934  12.421  13.829   11.284   10.929  12.157  11.197  14.532  13.357 
  0.0070   1668.0  -3.730  3.840   0.166   1.000  14.510  13.089  11.639  10.574  11.630  14.683  14.239  13.549  12.750  11.712  11.275  11.368  10.737  10.382  10.480  10.374  11.852  13.254   10.824   10.333  11.382  10.685  14.016  12.622 
  0.0080   1786.0  -3.580  3.870   0.171   1.000  13.319  12.039  11.018  10.224  11.009  13.437  13.070  12.557  11.667  11.059  10.591  10.805  10.390  10.019  10.108  10.031  11.223  12.168   10.491    9.969  10.695  10.329  12.737  11.540 
  0.0100   1872.0  -3.440  3.910   0.183   1.000  12.735  11.509  10.634   9.925  10.625  12.856  12.480  11.999  11.151  10.666  10.203  10.434  10.101   9.713   9.810   9.722  10.831  11.613   10.207    9.661  10.304  10.038  12.137  11.027 
  0.0120   2036.0  -3.260  3.960   0.190   1.000  11.839  10.810  10.151   9.567  10.142  11.926  11.608  11.203  10.495  10.160   9.740   9.973   9.747   9.350   9.449   9.359  10.313  10.867    9.855    9.295   9.831   9.680  11.293  10.383 
